avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,avg_virtual_drift,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
79911456.0,0.04842515289783478,0.0,1.0145097970962524,19.299999237060547,0.0,0.0,115002440.0,0.7638888888888888,0.0,0.0,0.0,3.3597285067873304,0.7706279190451479,2146.701416015625,-27482979840.0,442.0,0.0,0.0,0.0,1.0,1.0
50507632.0,0.0473390594124794,0.0,0.9729900360107422,16.84000015258789,0.0,0.0,129200240.0,0.795676788471436,0.0,0.0,0.0,4.057742782152231,0.802283341982356,2638.444580078125,-23021931008.0,381.0,0.0,0.0,0.0,1.0,1.0
87527840.0,0.047151025384664536,0.0,0.945472776889801,18.600000381469727,0.0,0.0,125082928.0,0.7694687983496648,0.0,0.0,0.0,3.3986332574031892,0.7726566545831176,2267.56103515625,-30014302208.0,439.0,0.0,0.0,0.0,1.0,1.0
72318952.0,0.049498092383146286,0.0,0.9959436058998108,18.68000030517578,0.0,0.0,355521088.0,0.7483204134366925,0.0,0.0,0.0,3.0548523206751055,0.7533818938605619,2256.772216796875,-50016376320.0,474.0,0.0,0.0,0.0,1.0,1.0
105055376.0,0.04889724403619766,0.0,0.9337688684463501,17.420000076293945,0.0,0.0,189283488.0,0.756544502617801,0.0,0.0,0.0,3.269230769230769,0.7657657657657657,2505.018798828125,-39939870720.0,442.0,0.0,0.0,0.0,1.0,1.0
58342292.0,0.047027941793203354,0.0,0.9917837381362915,17.469999313354492,0.0,0.0,174110944.0,0.7715025906735752,0.0,0.0,0.0,3.528436018957346,0.7791732077446363,2270.483642578125,-29079975424.0,422.0,0.0,0.0,0.0,1.0,1.0
69596784.0,0.04786239191889763,0.0,0.950531005859375,17.0,0.0,0.0,190335264.0,0.7805383022774327,0.0,0.0,0.0,3.732673267326733,0.7887029288702929,2224.330078125,-32953286656.0,404.0,0.0,0.0,0.0,1.0,1.0
78180576.0,0.04734502360224724,0.0,0.9319763779640198,18.309999465942383,0.0,0.0,88375744.0,0.7769191138588356,0.0,0.0,0.0,3.5990453460620526,0.7825635703165542,2341.0625,-24474107904.0,419.0,0.0,0.0,0.0,1.0,1.0
78854848.0,0.045771729201078415,0.0,0.9652281999588013,17.670000076293945,0.0,0.0,142436800.0,0.7736625514403292,0.0,0.0,0.0,3.641646489104116,0.7845592070944184,2463.76220703125,-30015059968.0,413.0,0.0,0.0,0.0,1.0,1.0
73511632.0,0.04780365154147148,0.0,0.940565824508667,17.889999389648438,0.0,0.0,107961304.0,0.7665631469979296,0.0,0.0,0.0,3.396788990825688,0.7725612936880543,2238.63720703125,-25498892288.0,436.0,0.0,0.0,0.0,1.0,1.0
79406384.0,0.04730955511331558,0.0,0.9637300968170166,16.889999389648438,0.0,0.0,229300608.0,0.767236910316226,0.0,0.0,0.0,3.433874709976798,0.7744636316064888,2251.128173828125,-38811769344.0,431.0,0.0,0.0,0.0,1.0,1.0
100692696.0,0.05173870176076889,15760.0859375,1.06489896774292,20.950000762939453,0.0,0.0,66578248.0,0.7301180092355054,0.0,0.0,0.0,2.8290258449304173,0.7388369678089304,2330.979248046875,-26796866560.0,503.0,0.0,0.0,0.0,1.0,1.0
68979424.0,0.045771174132823944,15760.0859375,0.9529286026954651,17.81999969482422,0.0,0.0,95604008.0,0.7833247555326814,0.0,0.0,0.0,3.8629441624365484,0.7943632567849687,2240.373291015625,-23356683264.0,394.0,0.0,0.0,0.0,1.0,1.0
91854552.0,0.04868708550930023,15760.0859375,0.9530451893806458,17.670000076293945,0.0,0.0,69928016.0,0.7801345059493016,0.0,0.0,0.0,3.723456790123457,0.7882906429691584,2650.559814453125,-25364114432.0,405.0,0.0,0.0,0.0,1.0,1.0
77055792.0,0.04758157208561897,15760.0859375,0.9195410013198853,18.049999237060547,0.0,0.0,151437008.0,0.7533960292580982,0.0,0.0,0.0,3.1553610503282274,0.7593470247498684,2136.54345703125,-30555318272.0,457.0,0.0,0.0,0.0,1.0,1.0
64973032.0,0.04531363397836685,15760.0859375,0.9294610023498535,17.600000381469727,0.0,0.0,50366908.0,0.8038105046343975,0.0,0.0,0.0,4.384831460674158,0.8142931664058425,2124.681396484375,-18031653376.0,356.0,0.0,0.0,0.0,1.0,1.0
70615216.0,0.04575781524181366,15760.0859375,1.0566294193267822,20.459999084472656,0.0,0.0,92880608.0,0.7507804370447451,0.0,0.0,0.0,3.1437908496732025,0.7586750788643533,2276.507568359375,-23411561984.0,459.0,0.0,0.0,0.0,1.0,1.0
74596920.0,0.04679066687822342,15760.0859375,0.9334365129470825,17.670000076293945,0.0,0.0,160041712.0,0.7724458204334366,0.0,0.0,0.0,3.5727923627684963,0.7813152400835073,2242.159912109375,-30923975680.0,419.0,0.0,0.0,0.0,1.0,1.0
